Floor,Price,Renovation,Year,Size,Elevator,Room,Hall,Id
24,500.0,3,2001,98.0,1.0,2,1.0,101101974016
6,310.0,2,1989,57.0,0.0,2,1.0,101102137196
6,270.0,3,1980,60.0,0.0,2,1.0,101102551763
7,450.0,2,2000,84.0,0.0,2,1.0,101102458058
9,419.0,2,2011,87.0,1.0,2,1.0,101102480154
16,419.0,3,2012,93.0,1.0,2,2.0,101102535355
6,380.0,3,1991,64.0,0.0,2,1.0,101102623884
22,1196.0,3,2000,171.0,1.0,4,2.0,101102599706
14,610.0,2,2008,105.0,1.0,3,2.0,101102621346
30,1250.0,0,2001,207.0,1.0,3,2.0,101102289266
6,445.0,3,1995,69.0,0.0,3,1.0,101102212420
6,345.0,0,1998,60.0,0.0,2,1.0,101102623656
21,750.0,0,2004,127.0,1.0,3,1.0,101102624675
15,520.0,3,2012,96.0,1.0,2,1.0,101102628459
18,332.0,2,2015,69.0,1.0,2,1.0,101102527165
34,345.0,0,2015,72.0,1.0,2,1.0,101102621795
28,350.0,2,2014,73.0,1.0,2,1.0,101102596715
26,365.0,2,2013,76.0,1.0,2,1.0,101102583424
15,490.0,2,2000,86.0,1.0,3,1.0,101102571461
6,760.0,0,2001,156.0,0.0,4,2.0,101102564568
20,460.0,2,2001,89.0,1.0,2,1.0,101102428045
27,614.0,2,1994,97.0,1.0,3,1.0,101102420205
6,550.0,3,2005,90.0,0.0,2,1.0,101102546578
14,385.0,3,2015,61.0,1.0,1,1.0,101102443166
6,335.0,2,1988,59.0,0.0,2,1.0,101101318597
20,500.0,0,1996,94.0,1.0,3,1.0,101102433380
6,335.0,2,2000,127.0,0.0,3,2.0,101102164788
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
28,475.0,2,2010,130.0,1.0,2,1.0,101101726529
6,200.0,3,2003,38.0,0.0,1,0.0,101102593890
