Direction,District,Garden,Region,Floor,Renovation,Size,Year,Room,Elevator,Hall,Price
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
0,206,2003,7,8,3,42.0,2016,2,1.0,1.0,108.0
30,75,341,7,19,1,95.0,2015,2,1.0,2.0,252.0
30,169,802,7,9,3,85.0,2013,2,1.0,1.0,255.0
33,75,336,7,16,3,89.0,2014,2,1.0,1.0,255.0
45,206,471,7,5,3,47.0,2016,2,1.0,1.0,135.0
27,175,2272,7,13,1,35.0,2015,2,1.0,1.0,99.0
0,175,4316,7,18,3,50.0,2014,1,1.0,1.0,119.0
27,175,566,7,5,2,39.0,2005,2,0.0,1.0,200.0
20,175,3503,7,6,2,88.0,2000,3,0.0,1.0,310.0
30,175,2272,7,14,2,38.0,2015,2,1.0,1.0,150.0
33,108,4295,5,18,0,87.0,2014,2,1.0,2.0,210.0
4,108,4295,5,18,0,67.0,2014,1,1.0,1.0,199.0
33,108,4295,5,12,3,124.0,2015,3,1.0,2.0,420.0
33,108,2145,5,17,3,102.0,2015,2,1.0,2.0,285.0
33,108,355,5,12,3,76.0,2015,2,1.0,1.0,320.0
33,108,4295,5,18,0,134.0,2014,3,1.0,2.0,360.0
33,108,4295,5,18,0,88.0,2014,2,1.0,2.0,230.0
33,108,4295,5,11,0,89.0,2015,2,1.0,2.0,260.0
33,108,4295,5,18,0,74.0,2014,1,1.0,1.0,190.0
33,108,4295,5,18,0,116.0,2014,3,1.0,1.0,270.0
33,108,4295,5,16,3,91.0,2014,2,1.0,2.0,260.0
33,108,4295,5,13,3,194.0,2014,4,1.0,2.0,480.0
33,114,4465,6,2,3,457.0,2009,5,1.0,2.0,1800.0
33,114,4251,6,4,3,89.0,2010,2,0.0,1.0,430.0
33,114,4465,6,2,3,163.0,2008,6,0.0,4.0,850.0
33,114,3608,6,1,2,87.0,1998,3,0.0,1.0,330.0
33,114,4465,6,2,3,585.0,2008,5,1.0,3.0,2100.0
33,114,2581,6,2,1,343.0,2011,5,1.0,2.0,1030.0
8,114,662,6,2,0,307.0,2008,5,0.0,2.0,1150.0
33,114,4465,6,2,2,163.0,2008,4,0.0,2.0,800.0
33,114,4251,6,4,0,133.0,2010,3,1.0,2.0,530.0
33,114,4250,6,4,0,88.0,2012,3,0.0,2.0,430.0
33,114,3607,6,6,3,104.0,2003,3,0.0,1.0,310.0
33,114,3608,6,6,0,80.0,1997,3,0.0,1.0,235.0
33,114,3096,6,8,3,103.0,2012,2,1.0,2.0,413.0
33,114,2581,6,2,3,345.0,2008,5,1.0,3.0,1150.0
4,114,1883,6,6,2,57.0,2003,1,0.0,1.0,220.0
